place_name,state,total_units,sf_1unit_units,duplex_units,mf_3plus_units
Mecklenburg County,NC,11969,6496,96,5377
Brooklyn borough,NY,10063,25,88,9950
Lee County Unincorporated Area,FL,8721,7018,0,1703
Atlanta,GA,8109,791,102,7216
Manatee County Unincorporated Area,FL,7197,5545,32,1620
Bronx borough,NY,6929,8,48,6873
Jacksonville-Duval County,FL,6398,5037,94,1267
Pasco County Unincorporated Area,FL,6338,5131,10,1197
Osceola County Unincorporated Area,FL,6083,4036,0,2047
Miami,FL,6023,145,146,5732
